time(ms),ax,ay,az,gx,gy,gz
2280,-0.918752 0.143004 -8.519526 -0.017999 -0.053451 -0.013090
2300,-0.891328 0.156521 -8.529714 -0.022907 -0.050724 -0.026725
2320,-0.849798 0.147745 -8.510476 -0.020726 -0.055632 -0.016362
2340,-0.901671 0.146867 -8.543676 -0.017453 -0.054542 -0.005454
2360,-0.874536 0.143116 -8.543118 -0.014181 -0.054542 -0.012545
2380,-0.886906 0.137570 -8.520652 -0.010908 -0.050724 -0.014726
2400,-0.898917 0.136368 -8.519698 -0.014726 -0.052360 -0.015817
2420,-0.846247 0.133016 -8.546754 -0.024544 -0.056178 -0.017999
2440,-0.937949 0.197111 -8.489123 -0.027271 -0.054542 -0.011454
2460,-0.977287 0.130686 -8.566322 -0.044724 -0.057814 -0.028907
2480,-0.810987 0.123613 -8.521679 -0.017999 -0.055632 -0.011454
2500,-0.908564 0.152643 -8.524972 -0.013635 -0.055632 -0.002727
2520,-0.898928 0.144987 -8.534783 -0.017453 -0.055632 -0.012545
2540,-1.025101 0.188396 -8.519387 -0.024544 -0.056178 -0.016908
2560,-0.742503 0.128306 -8.516986 -0.031634 -0.053451 -0.010363
2580,-0.878012 0.170782 -8.526227 -0.019635 -0.050178 -0.007090
2600,-0.878634 0.162100 -8.526289 -0.010363 -0.049633 -0.000545
2620,-0.898090 0.147225 -8.515306 -0.014181 -0.046360 -0.003818
2640,-0.912965 0.160822 -8.514638 -0.016362 -0.050724 -0.006000
2660,-0.895059 0.162613 -8.549480 -0.034907 -0.056178 -0.034907
2680,-0.882494 0.166024 -8.518056 -0.018544 -0.050724 -0.010363
2700,-0.887702 0.174123 -8.548744 -0.015817 -0.052360 -0.002182
2720,-0.909771 0.152522 -8.544487 -0.015272 -0.051269 -0.005454
2740,-0.907668 0.165661 -8.527038 -0.013635 -0.053996 -0.005454
2760,-0.931162 0.169777 -8.533696 -0.023453 -0.051269 -0.013635
2780,-0.866710 0.161138 -8.527251 -0.025635 -0.056178 -0.022362
2800,-0.950769 0.180745 -8.531347 -0.019635 -0.052905 -0.010908
2820,-0.840658 0.168053 -8.533266 -0.029452 -0.056723 -0.022907
2840,-0.894293 0.175618 -8.532165 -0.011999 -0.051269 -0.002727
2860,-0.895346 0.169048 -8.527960 -0.016908 -0.052905 -0.006000
2880,-0.912691 0.173779 -8.518920 -0.014181 -0.052360 -0.006000
2900,-0.976916 0.203989 -8.503795 -0.027816 -0.055632 -0.017999
2920,-0.966100 0.185677 -8.558739 -0.035452 -0.058359 -0.032725
2940,-0.900372 0.179320 -8.550012 -0.016362 -0.052905 -0.010908
2960,-0.850702 0.173513 -8.553664 -0.029452 -0.051814 -0.017453
2980,-0.847890 0.167329 -8.527524 -0.031634 -0.054542 -0.021271
3000,-0.918719 0.199034 -8.504439 -0.029452 -0.056723 -0.007090
3020,-0.880550 0.176993 -8.543719 -0.028362 -0.052905 -0.026725
3040,-0.827171 0.186640 -8.529762 -0.019635 -0.052905 -0.020726
3060,-0.862776 0.200319 -8.520393 -0.019635 -0.061632 -0.014181
3080,-0.831859 0.177552 -8.523767 -0.022362 -0.060541 -0.018544
3100,-0.936510 0.205874 -8.519148 -0.017999 -0.055087 -0.008181
3120,-0.888794 0.191252 -8.544544 -0.010908 -0.043633 -0.003272
3140,-0.929274 0.208753 -8.516269 -0.016908 -0.054542 -0.005454
3160,-0.745849 0.175379 -8.521630 -0.023453 -0.050178 -0.011999
3180,-0.876192 0.209751 -8.508806 -0.011999 -0.051814 -0.003818
3200,-0.895691 0.205646 -8.545234 -0.011999 -0.053451 -0.004363
3220,-0.893331 0.201573 -8.504055 -0.017999 -0.056723 -0.006000
3240,-0.901715 0.202889 -8.517823 -0.019090 -0.060541 -0.006000
3260,-0.896089 0.209916 -8.566822 -0.020180 -0.060541 -0.007636
3280,-0.904145 0.204801 -8.522376 -0.015272 -0.055087 -0.010908
3300,-0.894177 0.216572 -8.525688 -0.021817 -0.053451 -0.011999
3320,-0.908264 0.215164 -8.512013 -0.020726 -0.056178 -0.012545
3340,-0.888124 0.202093 -8.533703 -0.020726 -0.057814 -0.010908
3360,-0.905504 0.215440 -8.528976 -0.014726 -0.053451 -0.005454
3380,-0.905087 0.211171 -8.531089 -0.015272 -0.057269 -0.007636
3400,-0.894271 0.216563 -8.542936 -0.019090 -0.057269 -0.007090
3420,-0.895344 0.220765 -8.506412 -0.011999 -0.055087 -0.005454
3440,-0.888987 0.217091 -8.535944 -0.014726 -0.052905 -0.008727
3460,-0.912055 0.221249 -8.540405 -0.009817 -0.054542 -0.001636
3480,-0.888503 0.212830 -8.550980 -0.009817 -0.052360 -0.004909
3500,-0.903387 0.222116 -8.515835 -0.010363 -0.055087 -0.004363
3520,-0.896256 0.218519 -8.525896 -0.015817 -0.059450 -0.003272
3540,-0.897698 0.229149 -8.545434 -0.014181 -0.053996 -0.003818
3560,-0.943094 0.220300 -8.513341 -0.017999 -0.058359 -0.008181
3580,-0.882988 0.209072 -8.561202 -0.036543 -0.059996 -0.039270
3600,-0.904990 0.217646 -8.552629 -0.007090 -0.047997 0.000000
3620,-0.898571 0.229062 -8.556296 -0.008727 -0.051814 -0.000545
3640,-0.902239 0.222231 -8.535114 -0.007636 -0.052360 -0.001636
3660,-0.900451 0.226719 -8.532781 -0.011454 -0.053451 -0.001636
3680,-0.911046 0.221350 -8.533840 -0.009817 -0.055632 -0.001636
3700,-0.907796 0.215210 -8.518431 -0.014181 -0.054542 -0.007090
3720,-0.901006 0.228818 -8.513442 -0.009817 -0.049633 -0.009272
3740,-0.904637 0.232765 -8.526734 -0.008727 -0.049633 -0.004909
3760,-0.913620 0.223247 -8.534098 -0.011454 -0.051814 -0.005454
3780,-0.897279 0.233501 -8.515224 -0.011999 -0.051814 -0.004363
3800,-0.906419 0.234742 -8.526913 -0.011999 -0.050724 -0.006000
3820,-0.928882 0.245425 -8.524849 -0.016362 -0.047997 -0.010363
3840,-0.913889 0.233995 -8.536279 -0.019090 -0.051814 -0.015272
3860,-0.903771 0.235007 -8.515874 -0.006545 -0.042542 -0.000545
3880,-0.904914 0.232737 -8.528917 -0.009272 -0.050724 -0.005454
3900,-0.905028 0.232726 -8.552632 -0.016362 -0.049633 -0.004363
3920,-0.902884 0.222166 -8.535178 -0.020726 -0.058359 -0.007636
3940,-0.900515 0.233177 -8.537097 -0.021271 -0.056178 -0.009272
3960,-0.911053 0.240743 -8.529531 -0.019090 -0.051814 -0.010363
3980,-0.875474 0.235681 -8.536747 -0.018544 -0.050724 -0.011454
4000,-0.902084 0.226556 -8.524324 -0.014181 -0.048542 -0.004909
4020,-0.904745 0.245683 -8.535365 -0.011999 -0.050724 -0.004363
4040,-1.036457 0.258370 -8.535606 -0.029998 -0.055087 -0.022907
4060,-0.868620 0.236367 -8.536062 -0.022907 -0.056178 -0.041452
4080,-0.899244 0.248388 -8.517575 -0.007636 -0.050178 -0.004909
4100,-0.902306 0.245927 -8.526502 -0.011999 -0.052360 -0.001091
4120,-0.904767 0.234907 -8.526748 -0.003272 -0.045815 -0.001636
4140,-0.911478 0.238546 -8.523108 -0.011454 -0.050724 -0.006545
4160,-0.907839 0.238909 -8.535674 -0.014726 -0.053451 -0.006000
4180,-0.911785 0.234205 -8.529604 -0.011454 -0.050178 -0.004363
4200,-0.905715 0.245586 -8.526842 -0.013635 -0.052905 -0.003272
4220,-0.902953 0.239398 -8.533031 -0.009817 -0.052360 -0.006545
4240,-0.894058 0.240288 -8.534296 -0.011454 -0.051814 -0.007636
4260,-0.899633 0.233266 -8.517614 -0.014181 -0.051269 -0.003818
4280,-0.908809 0.247432 -8.531462 -0.007636 -0.049087 -0.004909
4300,-0.896798 0.246478 -8.534570 -0.009817 -0.050178 -0.011999
4320,-0.893442 0.236039 -8.525615 -0.007636 -0.047451 -0.011999
4340,-0.895261 0.233703 -8.540881 -0.012545 -0.049633 -0.004909
4360,-0.906217 0.239072 -8.529047 -0.011999 -0.053451 -0.001636
4380,-0.907313 0.249736 -8.537776 -0.010363 -0.049087 -0.004363
4400,-0.909577 0.249510 -8.542313 -0.011454 -0.053996 -0.003818
4420,-0.929198 0.243238 -8.533501 -0.014181 -0.056178 -0.003272
4440,-0.978567 0.253385 -8.549212 -0.012545 -0.052905 -0.007090
4460,-0.858522 0.230912 -8.530743 -0.006545 -0.053996 -0.012545
4480,-0.898234 0.239870 -8.536868 -0.003818 -0.047451 -0.002182
4500,-0.897895 0.237749 -8.532525 -0.007090 -0.061087 -0.002727
4520,-0.910791 0.247234 -8.518730 -0.003818 -0.049633 -0.001091
4540,-0.914235 0.238270 -8.527695 -0.009272 -0.053451 -0.003272
4560,-0.908115 0.232417 -8.531392 -0.006000 -0.050724 -0.002182
